"Trial","Block","Treatment","PlotNum","FieldRow","FieldCol"
"1","1","3",11,1,1
"1","1","6",12,1,2
"1","1","1",13,1,3
"1","1","5",14,1,4
"1","1","2",15,1,5
"1","1","4",16,1,6
"1","2","3",21,1,7
"1","2","5",22,1,8
"1","2","4",23,1,9
"1","2","6",24,1,10
"1","2","1",25,1,11
"1","2","2",26,1,12
"2","1","3",11,1,1
"2","1","2",12,1,2
"2","1","1",13,1,3
"2","1","6",14,1,4
"2","1","5",15,1,5
"2","1","4",16,1,6
"2","2","1",21,1,7
"2","2","6",22,1,8
"2","2","3",23,1,9
"2","2","5",24,1,10
"2","2","4",25,1,11
"2","2","2",26,1,12
"3","1","1",11,1,1
"3","1","3",12,1,2
"3","1","4",13,1,3
"3","1","2",14,1,4
"3","1","6",15,1,5
"3","1","5",16,1,6
"3","2","6",21,1,7
"3","2","3",22,1,8
"3","2","1",23,1,9
"3","2","5",24,1,10
"3","2","2",25,1,11
"3","2","4",26,1,12
