"Trial","Block","Treatment","PlotNum","FieldRow","FieldCol"
"1","1","2",11,1,1
"1","1","4",12,1,2
"1","1","5",13,2,1
"1","1","6",14,2,2
"1","1","3",15,3,1
"1","1","1",16,3,2
"1","2","5",21,1,3
"1","2","3",22,1,4
"1","2","4",23,2,3
"1","2","6",24,2,4
"1","2","2",25,3,3
"1","2","1",26,3,4
"1","3","5",31,1,5
"1","3","1",32,1,6
"1","3","3",33,2,5
"1","3","6",34,2,6
"1","3","2",35,3,5
"1","3","4",36,3,6
"2","1","5",11,1,1
"2","1","1",12,1,2
"2","1","4",13,2,1
"2","1","2",14,2,2
"2","1","6",15,3,1
"2","1","3",16,3,2
"2","2","3",21,1,3
"2","2","2",22,1,4
"2","2","4",23,2,3
"2","2","5",24,2,4
"2","2","6",25,3,3
"2","2","1",26,3,4
"2","3","3",31,1,5
"2","3","4",32,1,6
"2","3","6",33,2,5
"2","3","2",34,2,6
"2","3","5",35,3,5
"2","3","1",36,3,6
